"feature_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","type"
"RUNDC3A.AS1",73.5911426704632,3.82366270584789,0.208656531463827,18.3251522443272,5.21353257701223e-75,5.59326640456527e-73,"Up regulated"
"FOXD3.AS1",51.7543837032264,7.15678167018897,0.391545339472093,18.2782961478694,1.23215548687743e-74,1.31546838463978e-72,"Up regulated"
"FGB",7990.79719195912,9.16554620816994,0.501887396558809,18.262156553469,1.65618584347306e-74,1.7596072306478e-72,"Up regulated"
"CNTD2",185.180851770646,4.49435005333387,0.24632912422073,18.2453052092475,2.25474050093266e-74,2.37826342404865e-72,"Up regulated"
"XDH",1048.83067275701,4.13136019816692,0.226460924096066,18.2431481928175,2.34551622439527e-74,2.46807929041343e-72,"Up regulated"
"LINC00942",333.960409672847,6.61200557112645,0.363003711399579,18.2147051489736,3.94537003553432e-74,4.12187837593358e-72,"Up regulated"
"UNC5CL",718.079480022141,3.09646065790925,0.170005601903443,18.2138742679075,4.00571464582355e-74,4.17498225520408e-72,"Up regulated"
"VIL1",1159.5647876955,7.03466722523142,0.386517064289844,18.2001465786675,5.14698795520906e-74,5.33911783656308e-72,"Up regulated"
"PAEP",3575.39739060726,7.79125101267242,0.429678853196242,18.1327308866048,1.75807327081425e-73,1.79819340443027e-71,"Up regulated"
"RHBDL2",469.30224512496,2.66561203970942,0.147335309225846,18.092146775376,3.67488900566651e-73,3.72402897643512e-71,"Up regulated"
"SHCBP1",498.13432489006,2.40985216982258,0.133478189152896,18.0542767707326,7.30119675002264e-73,7.33110325387284e-71,"Up regulated"
"SYT7",2964.94629449646,3.55679688886006,0.19720868734461,18.0357008443791,1.02191545001054e-72,1.02142660662899e-70,"Up regulated"
"BLM",390.90880452998,2.20291755942203,0.122274709936506,18.0161340032289,1.45567239992833e-72,1.45166930082853e-70,"Up regulated"
"GRHL3",158.493258253042,3.57513275172388,0.198633109672725,17.9986748312725,1.99536294284114e-72,1.98087173232865e-70,"Up regulated"
"HIST1H2BD",940.372995124554,2.69658152630351,0.149911362514948,17.9878394877147,2.42634887868629e-72,2.39248904377249e-70,"Up regulated"
"ENTPD8",230.845891877715,4.5973847834374,0.255879281861346,17.9670067462851,3.53268562201028e-72,3.45235439661891e-70,"Up regulated"
"KPNA2",4739.26385790298,2.10230793406898,0.117036077889924,17.9629048749076,3.80370370753937e-72,3.70894922184711e-70,"Up regulated"
"ENSG00000179066",49.6932193558276,6.04793736179342,0.336839955519457,17.9549286321055,4.39145829831479e-72,4.27256759804334e-70,"Up regulated"
"BARX1",697.120133325904,7.69333758525234,0.430521494808727,17.8698106320344,2.02681196114906e-71,1.95031758866797e-69,"Up regulated"
"ENSG00000233539",64.0188741374084,5.06524443499531,0.283930480061212,17.8397346910529,3.47341151227257e-71,3.32772540932332e-69,"Up regulated"
"NMU",243.274551043269,4.74315294416269,0.266026966450005,17.8295945236593,4.16430246101335e-71,3.97229190623489e-69,"Up regulated"
"PTTG1",1061.27529977672,2.47028007660403,0.138584875021799,17.8250337651599,4.5181793064403e-71,4.30050303226234e-69,"Up regulated"
"ECT2",2335.37148982143,2.27379687729349,0.127651190452259,17.8125787095099,5.64481811369063e-71,5.33812443988429e-69,"Up regulated"
"MAST1",97.5125670246721,3.37839363906611,0.18983400545318,17.7965672219846,7.51355993016364e-71,7.02958414020577e-69,"Up regulated"
"CLSPN",334.46093196776,2.85600982097087,0.160810143642314,17.7601347544557,1.43888711088341e-70,1.33764676988248e-68,"Up regulated"
"TSACC",37.070111663171,3.22821133952417,0.181780737899703,17.7588196462561,1.47299714312629e-70,1.36646176835599e-68,"Up regulated"
"ECE2",573.286889671434,2.21822839086925,0.125064619774446,17.7366580162305,2.18553121019946e-70,2.01468327672988e-68,"Up regulated"
"ONECUT1",42.614092666803,6.81417382450727,0.384374813569114,17.7279404996239,2.55213194976728e-70,2.33302078799663e-68,"Up regulated"
"DGCR5",348.396405505657,3.72892424202036,0.210422612260344,17.7211194270641,2.88121419189523e-70,2.62837416894326e-68,"Up regulated"
"ENSG00000227619",144.197727913721,4.48119722588366,0.253099333355309,17.7052905137162,3.81706041305882e-70,3.46767689160679e-68,"Up regulated"
"RHBG",46.8238245366162,4.80812304823376,0.2716791522329,17.6977990718697,4.36017085565065e-70,3.95289125981601e-68,"Up regulated"
"STRA6",709.231422039614,4.53146761271953,0.256107351428283,17.6936256903522,4.69546223887034e-70,4.24808634184313e-68,"Up regulated"
"KDELR3",2331.64754708616,2.26636350844718,0.128094273844471,17.6929338090393,4.75348041710816e-70,4.29172772062323e-68,"Up regulated"
"CDK1",1530.28324837615,2.5951378901024,0.146706981959987,17.6892596073594,5.07376987508065e-70,4.57149791270357e-68,"Up regulated"
"ENSG00000265055",52.751843375251,3.22199339622067,0.182407998931051,17.663662860742,7.9883397849394e-70,7.18279429146221e-68,"Up regulated"
"SLC24A2",53.0671705774535,5.2345031328583,0.296529472574414,17.652556042451,9.72532575745731e-70,8.7267396505413e-68,"Up regulated"
"DMBX1",72.7590396044958,6.60711719189931,0.374681137629766,17.6339733398269,1.35128287552763e-69,1.21006002643422e-67,"Up regulated"
"SPC25",215.587709963602,2.52118094697554,0.14310458726541,17.6177507314955,1.80021559085406e-69,1.59902145568998e-67,"Up regulated"
